CustomerID,Age,Gender,AnnualIncome,SpendingScore,Product,ProductPrice
1800,33,Male,63077,759,Sofa,367.98
1030,21,Male,68529,9753,Smartphone,409.54
1342,32,Female,118503,10539,Shoes,952.16
1145,52,Female,64095,2862,Laptop,823.95
1880,57,Female,93691,7321,Lamp,852.07
1526,63,Female,135736,1125,Laptop,22.72
1272,25,Male,81540,1680,AC,182.35
1255,35,Male,123836,4136,Shoes,640.45
1488,43,Female,47921,1274,TV,288.07
1900,33,Female,59448,5379,AC,896.31
1800,20,Male,52012,11980,Lamp,435.76
1177,34,Male,109616,2144,Lamp,493.1
1286,23,Male,49703,10519,AC,434.92
1054,22,Female,79965,398,Lamp,805
1191,56,Male,77573,9708,TV,143.28
1072,35,Female,58858,7420,Shoes,637.02
1902,40,Male,78790,7304,Dustbin,326.33
1406,24,Male,115028,4475,Clothes,110.58
1125,25,Male,143308,11004,Clothes,714.94
1736,20,Female,130728,12150,Sofa,324.82
1199,26,Male,145674,3319,Dustbin,22.1
1213,59,Female,83434,981,Smartphone,77.65
1550,23,Female,120204,4713,AC,802.67
1874,40,Male,36910,8965,Clothes,636.19
1317,50,Female,143838,7408,TV,845.97
1852,55,Female,72864,6504,Smartphone,328.01
1246,55,Male,92331,1195,Smartphone,428.76
1098,22,Female,110250,9841,Dustbin,451.36
1440,52,Female,38801,477,AC,698.93
1187,18,Female,133584,12019,Smartphone,513.04
1321,46,Female,82716,10977,Lamp,696.87
1085,46,Female,36739,6008,TV,763.94
1986,63,Male,96583,9253,Dustbin,933.51
1745,31,Male,81909,8206,Smartphone,956.06
1118,41,Female,31477,9354,Clothes,417.77
1773,62,Female,99365,11522,Shoes,998.84
1530,32,Male,144848,10028,Laptop,647.26
1308,45,Female,121131,11954,Shoes,742.29
1524,33,Female,107218,11166,Laptop,401.6
1002,46,Male,67397,11127,TV,718.01
1686,59,Male,121500,8704,AC,146.61
1276,35,Male,145330,8679,Clothes,693.65
1725,64,Male,45957,7795,Dustbin,528.15
1788,23,Male,88095,5635,TV,439.36
